time	Qdflat(1)	tau(1)	hru_ea(1)	hru_rh(1)	hru_t(1)
units	(W/m^2)	()	(kPa)	(%)	(°C)
41905.625	602.979	0.294738	0.802052	77.3425	7.4985
41905.66667	491.559	0.294738	0.802063	76.0325	7.74875
41905.70833	343.417	0.294738	0.796432	75.7375	7.7025
41905.75	173.621	0.294738	0.786614	76.1775	7.43625
41905.79167	27.7645	0.294738	0.785352	74.9175	7.65675
41905.83333	0	0.294738	0.794427	78.1475	7.20775
41905.875	0	0.294738	0.809289	79.21	7.28117
41905.91667	0	0.294738	0.80483	77.545	7.51083
41905.95833	0	0.294738	0.782111	75.1725	7.5465
41906	0	0.294738	0.768118	73.67	7.57775
41906.04167	0	0.189651	0.756896	71.6775	7.76375
41906.08333	0	0.189651	0.748266	71.02	7.73075
41906.125	0	0.189651	0.741813	74.1225	6.97975
41906.16667	0	0.189651	0.731185	72.0375	7.18525
41906.20833	0	0.189651	0.727153	72.75	6.96125
41906.25	0	0.189651	0.738576	76.8	6.40075
41906.29167	0.54865	0.189651	0.733049	77.4525	6.1695
41906.33333	79.3066	0.189651	0.743251	78.4925	6.1765
41906.375	246.072	0.189651	0.753821	89.815	4.444
41906.41667	407.841	0.189651	0.767998	94.925	3.92175
41906.45833	540.986	0.189651	0.763805	88.91	4.7765
41906.5	631.727	0.189651	0.71659	75.775	6.15775
41906.54167	672.556	0.189651	0.656329	65.3	7.04225
41906.58333	660.391	0.189651	0.666053	66.46	7
41906.625	596.143	0.189651	0.692704	69.64	6.89075
41906.66667	484.729	0.189651	0.714217	74.0075	6.4515
41906.70833	336.852	0.189651	0.720073	75.6725	6.2475
41906.75	167.376	0.189651	0.727363	77.695	6.01175
41906.79167	24.7723	0.189651	0.713249	74.755	6.28625
41906.83333	0	0.189651	0.72583	77.935	5.93675
41906.875	0	0.189651	0.70337	71.33	6.76425
41906.91667	0	0.189651	0.710535	71.5825	6.86025
41906.95833	0	0.189651	0.692055	70.22	6.7565
41907	0	0.189651	0.695998	72.385	6.39825
41907.04167	0	0.239168	0.698814	72.8675	6.3605
41907.08333	0	0.239168	0.692919	74.6025	5.89775
41907.125	0	0.239168	0.689471	72.92	6.15525
41907.16667	0	0.239168	0.709723	70.2475	7.11775
41907.20833	0	0.239168	0.832144	98.8	4.494
41907.25	0	0.239168	0.792441	99.3	3.727
41907.29167	0.255471	0.239168	0.769054	93.1	4.21725
41907.33333	74.1167	0.239168	0.736247	86.6975	4.6115
41907.375	239.513	0.239168	0.758848	93.55	3.95875
41907.41667	401.192	0.239168	0.714549	84.78	4.50375
41907.45833	534.122	0.239168	0.65757	71.455	5.76425
41907.5	624.862	0.239168	0.668014	74.62	5.36725
41907.54167	665.693	0.239168	0.671322	76.21	5.1355
41907.58333	653.527	0.239168	0.657181	74.0375	5.245
41907.625	589.276	0.239168	0.660011	77.085	4.72875
41907.66667	477.876	0.239168	0.622007	72.6375	4.7305
41907.70833	330.111	0.239168	0.6117	74.3	4.1695
41907.75	161.164	0.239168	0.549232	67.0875	4.08975
